,Date,Real_Result,Predict_Result
0,2019-01-02,0.0559951631813521,0.006306519409058835
1,2019-01-03,0.025553528124679,0.011335965846976055
2,2019-01-04,0.018264965544831,0.0019290688802951095
3,2019-01-07,0.0031851958312779,0.0012343885446338462
4,2019-01-08,0.0098028596187175,-0.004559189296159972
5,2019-01-09,0.0074943003265758,-0.005304457478232346
6,2019-01-10,0.0152912266105859,-0.0073192032828970615
7,2019-01-11,0.0341127773841191,-0.011548046305029204
8,2019-01-14,0.0086580086580086,-0.005094686216681296
9,2019-01-15,0.0086388135010129,-0.010648323956043598
10,2019-01-16,0.0024165768828054,-0.02002526856105286
11,2019-01-17,-0.0022278719890964,-0.019773498276829168
12,2019-01-18,0.0041589122260624,-0.020847650176519062
13,2019-01-22,0.0004926668435214,-0.014736679284516004
14,2019-01-23,0.0146537336366011,-0.007873621308700491
15,2019-01-24,0.0147630555847429,-0.009955083469058488
16,2019-01-25,0.0237078502940788,-0.014842793087155961
17,2019-01-28,0.0321477272727272,-0.010827101305289633
18,2019-01-29,0.0211297812424235,-0.01251017322599614
19,2019-01-30,0.0101734403313487,-0.014932260742670471
20,2019-01-31,-0.0001773488562846,-0.012677564151555562
21,2019-02-01,-0.0062351598424878,-0.02028996976420711
22,2019-02-04,-0.0101910362713225,-0.019176388402920193
23,2019-02-05,0.0048030282507385,-0.02243318695461612
24,2019-02-06,0.0173610982797804,-0.019435179496594204
25,2019-02-07,0.0139777242713856,-0.017672630799676268
26,2019-02-08,0.0242822348512804,-0.016778234904566994
27,2019-02-11,0.0127626396767624,-0.016132451366727744
28,2019-02-12,0.0115036886630365,-0.017338113063160805
29,2019-02-13,0.0106164845050314,-0.019928520472811687
30,2019-02-14,0.0061500216169477,-0.02012626223881737
31,2019-02-15,0.0058818027455607,-0.018387293686047114
32,2019-02-19,0.0033037670126046,-0.01796113048945252
33,2019-02-20,0.006306579023237,-0.01811292665689758
34,2019-02-21,-0.0029290965276958,-0.017576045081811632
35,2019-02-22,0.0027109090844065,-0.018964189513084477
36,2019-02-25,-0.0003901356526719,-0.019764296092026578
37,2019-02-26,-0.0009776606335813,-0.01940500743390389
38,2019-02-27,-0.0046830837963145,-0.019993840691698996
39,2019-02-28,-0.0195314032578495,-0.01888728719544577
40,2019-03-01,-0.0178100192995584,-0.01909576575138358
41,2019-03-04,-0.0022762712168192,-0.017681078317699446
42,2019-03-05,0.0072416965848202,-0.018388300543108863
43,2019-03-06,0.0225505924123205,-0.01909007735268278
44,2019-03-07,0.02384554531966,-0.02083457613911569
45,2019-03-08,0.014076815291201,-0.018643821187373344
46,2019-03-11,0.0148377944632315,-0.01853131988477096
47,2019-03-12,0.0077021046490117,-0.02040413016484401
48,2019-03-13,0.0056080157238078,-0.0210298762946535
49,2019-03-14,0.0114792664607012,-0.020508771293997783
50,2019-03-15,-0.0113768734953793,-0.015542412562444964
51,2019-03-18,-0.0120773714330096,-0.021697023290009814
52,2019-03-19,-0.0020430347386721,-0.021274346508447083
53,2019-03-20,-0.0173422350501598,-0.020375387958605953
54,2019-03-21,0.0052593806570476,-0.019370432297196028
55,2019-03-22,0.0128789719692962,-0.022923112072380875
56,2019-03-25,0.0172895836733535,-0.02059378282668496
57,2019-03-26,0.0220541318970402,-0.018482268325098333
58,2019-03-27,0.0205864802659619,-0.017766288995342078
59,2019-03-28,0.0158728478690374,-0.01387437253733588
60,2019-03-29,0.008911163892173,-0.015873715522167427
61,2019-04-01,0.0099503355142925,-0.016054723860644226
62,2019-04-02,0.0016704948841093,-0.013368322579220602
63,2019-04-03,0.0030631487919316,-0.016575710500632834
64,2019-04-04,-0.0015279631076417,-0.013684205477406992
65,2019-04-05,0.0040196562572303,-0.013853496909194756
66,2019-04-08,0.0095128900006949,-0.012500266556597181
67,2019-04-09,0.0065265337354277,-0.012875341750941457
68,2019-04-10,0.004199673166408,-0.012074137323770948
69,2019-04-11,-0.0008185979961545,-0.011629940933969896
70,2019-04-12,0.0008225552213327,-0.01494238825965943
71,2019-04-15,0.0091570177430118,-0.011702739903192932
72,2019-04-16,0.0092399455256943,-0.014763990195606671
73,2019-04-17,0.0072770332836493,-0.012699033027576703
74,2019-04-18,0.0109732906460521,-0.013556662077846131
75,2019-04-22,0.003187123339969,-0.011476596305354496
76,2019-04-23,0.0063472542488683,-0.01449342173374481
77,2019-04-24,-0.000833854492391,-0.014945531247959184
78,2019-04-25,-0.007605752615753,-0.015302408782182926
79,2019-04-26,0.0008868411127306,-0.011894424139466139
80,2019-04-29,-0.0045352243680049,-0.010959958363671253
81,2019-04-30,-0.013571704637569,-0.014320993386676535
82,2019-05-01,-0.0130590364419095,-0.01397505148642952
83,2019-05-02,-0.0254342010564767,-0.013784925660089964
84,2019-05-03,-0.0174153529277365,-0.013236629294206204
85,2019-05-06,-0.025027305351849,-0.012039216553813258
86,2019-05-07,-0.0156316202568573,-0.016147569008144822
87,2019-05-08,-0.0068832906030542,-0.015352600919614195
88,2019-05-09,-0.0017630318595127,-0.015779776443755066
89,2019-05-10,0.0169495744824619,-0.013457078026241614
90,2019-05-13,0.0020533373788549,-0.010338848942235928
91,2019-05-14,0.0047001711704128,-0.011815955529161858
92,2019-05-15,-0.006970712577182,-0.01001288234584262
93,2019-05-16,-0.0130406045748778,-0.012419704594621325
94,2019-05-17,-0.0049890325783475,-0.014906575625738213
95,2019-05-20,-0.0216348503679705,-0.01459650943323001
96,2019-05-21,-0.0256453346497354,-0.015150344769950284
97,2019-05-22,-0.0118274845512782,-0.01416478216545098
