,Employment Cost Index: Wages and Salaries: Private Industry Workers,Employment Cost Index: Total compensation: All Civilian,Employment Cost Index: Wages and salaries for Private industry workers in Aircraft manufacturing,Unemployment Rate,Labor Force Participation Rate,"All Employees, Total Nonfarm",Unemployment Rate in California,Unemployment Rate in Texas,Unemployment Rate in New York,"Unemployment Rate in Austin-Round Rock, TX (MSA)","Unemployment Rate in Dallas-Fort Worth-Arlington, TX (MSA)","Unemployment Rate in Seattle-Tacoma-Bellevue, WA (MSA)","Unemployment Rate in Los Angeles County, CA","Unemployment Rate in Miami-Dade County, FL","Unemployment Rate in San Francisco County/City, CA",Unemployment Rate in Great Lakes BEA Region (DISCONTINUED),Unemployment Rate in Southeast BEA Region (DISCONTINUED),Unemployment Rate in New England BEA Region (DISCONTINUED),Initial Claims,Continued Claims (Insured Unemployment),4-Week Moving Average of Initial Claims,Total Nonfarm Private Payroll Employment,Total Nonfarm Private Payroll Employment (DISCONTINUED),Adjusted Unemployment Rate in Japan (DISCONTINUED),Unemployment Rate in the United States (DISCONTINUED),Adjusted Unemployment Rate in Italy (DISCONTINUED),Change in Total Nonfarm Payroll Employment in Texas,Mining: Oil and Gas Extraction Payroll Employment in Texas,Retail Trade: Automobile Dealers Payroll Employment in Texas,All Employees: State Government in New York,Average Hourly Earnings of All Employees: Total Private in California,"All Employees: Total Nonfarm in New York City, NY","Average Weekly Wages for Employees in Total Covered Establishments in Houston-Sugar Land-Baytown, TX (MSA)","Average Weekly Wages for Employees in Total Covered Establishments in New Orleans-Metairie-Kenner, LA (MSA)","Number of Private Establishments for All Industries in Spencer County, KY",Hornstein-Kudlyak-Lange Non-Employment Index,Hornstein-Kudlyak-Lange Non-Employment Index including People Working Part-Time for Economic Reasons,Initial Claims in California,Continued Claims (Insured Unemployment) in California,Initial Claims in Texas
1993-03-01,,,,7.0,66.2,109992.0,9.7,7.4,8.1,3.6,6.3,6.3,10.2,8.8,7.1,6.808,6.71,7.201,,,,,,,,,8.699518100000205,82.071897095,4.470787472299653,,,3285.1,,,,,,,,
1993-04-01,,,,7.1,66.1,110295.0,9.6,7.3,8.0,3.4,6.0,5.8,9.8,8.5,7.0,6.788,6.647,7.044,,,,,,,,,18.366140999999516,81.948507289,7.185041168320638,,,3289.6,573.261768300471,464.32883278759596,97.0,,,,,
1993-05-01,,,,7.1,66.4,110570.0,9.6,7.2,7.9,3.4,6.1,6.1,9.8,8.5,7.0,6.765,6.58,6.897,343000.0,2747000.0,349250.0,,,,,,11.32968979999987,81.387287669,7.014681158628666,,,3291.0,,,,,,56848.0,452247.0,15486.0
1993-06-01,,,,7.0,66.5,110751.0,9.6,7.2,7.8,3.9,6.5,6.3,10.1,8.8,7.5,6.742,6.508,6.769,,,,,,,,,21.409210700000585,81.434137649,2.737018104204214,,,3295.4,,,,,,,,
1993-07-01,,,,6.9,66.4,111060.0,9.5,7.1,7.8,3.9,6.1,6.1,10.4,8.9,7.8,6.527,6.424,6.658,,,,,,,,,67.00946919999933,81.142612046,20.19723228602095,,,3309.3,574.0177294773549,471.749616733343,97.0,,,,,
1993-08-01,,,,6.8,66.4,111209.0,9.5,7.1,7.8,3.7,6.1,5.8,9.9,8.8,7.6,6.428,6.331,6.56,,,,,,,,,-4.973725199999535,80.508773021,4.130684235077897,,,3304.5,,,,,,,,
1993-09-01,,,,6.7,66.2,111454.0,9.4,7.1,7.8,3.6,5.9,5.9,9.8,8.9,7.2,6.366,6.248,6.474,,,,,,,,,19.07601319999958,80.500067852,5.366335781476961,,,3304.9,,,,,,,,
1993-10-01,,,,6.8,66.3,111734.0,9.4,7.1,7.8,3.5,5.8,5.6,9.9,8.8,7.0,6.326,6.188,6.398,,,,,,,,,7.361874400000488,79.989791276,0.9150381834558408,,,3306.1,592.0915313353399,478.547838087929,99.0,,,,,
1993-11-01,,,,6.6,66.3,111990.0,9.3,7.0,7.7,3.5,5.8,5.6,9.5,8.2,6.7,6.302,6.162,6.33,,,,,,,,,6.87459889999991,79.543240414,12.476852329093457,,,3308.2,,,,,,,,
1993-12-01,,,,6.5,66.4,112324.0,9.3,7.0,7.7,3.2,5.4,5.3,9.2,8.1,6.1,6.272,6.157,6.264,,,,,,,,,28.396862099999453,79.278906019,9.892848911497731,,,3316.4,,,,,,,,
