,Employment Cost Index: Wages and Salaries: Private Industry Workers,Employment Cost Index: Total compensation: All Civilian,Employment Cost Index: Wages and salaries for Private industry workers in Aircraft manufacturing,Unemployment Rate,Labor Force Participation Rate,"All Employees, Total Nonfarm",Unemployment Rate in California,Unemployment Rate in Texas,Unemployment Rate in New York,"Unemployment Rate in Austin-Round Rock, TX (MSA)","Unemployment Rate in Dallas-Fort Worth-Arlington, TX (MSA)","Unemployment Rate in Seattle-Tacoma-Bellevue, WA (MSA)","Unemployment Rate in Los Angeles County, CA","Unemployment Rate in Miami-Dade County, FL","Unemployment Rate in San Francisco County/City, CA",Unemployment Rate in Great Lakes BEA Region (DISCONTINUED),Unemployment Rate in Southeast BEA Region (DISCONTINUED),Unemployment Rate in New England BEA Region (DISCONTINUED),Initial Claims,Continued Claims (Insured Unemployment),4-Week Moving Average of Initial Claims,Total Nonfarm Private Payroll Employment,Total Nonfarm Private Payroll Employment (DISCONTINUED),Adjusted Unemployment Rate in Japan (DISCONTINUED),Unemployment Rate in the United States (DISCONTINUED),Adjusted Unemployment Rate in Italy (DISCONTINUED),Change in Total Nonfarm Payroll Employment in Texas,Mining: Oil and Gas Extraction Payroll Employment in Texas,Retail Trade: Automobile Dealers Payroll Employment in Texas,All Employees: State Government in New York,Average Hourly Earnings of All Employees: Total Private in California,"All Employees: Total Nonfarm in New York City, NY","Average Weekly Wages for Employees in Total Covered Establishments in Houston-Sugar Land-Baytown, TX (MSA)","Average Weekly Wages for Employees in Total Covered Establishments in New Orleans-Metairie-Kenner, LA (MSA)","Number of Private Establishments for All Industries in Spencer County, KY",Hornstein-Kudlyak-Lange Non-Employment Index,Hornstein-Kudlyak-Lange Non-Employment Index including People Working Part-Time for Economic Reasons,Initial Claims in California,Continued Claims (Insured Unemployment) in California,Initial Claims in Texas
1930-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-01-01,,,,,,29923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-02-01,,,,,,30100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-03-01,,,,,,30280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-04-01,,,,,,30094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-05-01,,,,,,30299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-06-01,,,,,,30502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-07-01,,,,,,30419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-08-01,,,,,,30663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-09-01,,,,,,31031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-10-01,,,,,,31411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-11-01,,,,,,31470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-12-01,,,,,,31542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-01-01,,,,,,31603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-02-01,,,,,,31715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-03-01,,,,,,31825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-04-01,,,,,,31701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-05-01,,,,,,31879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-06-01,,,,,,31977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-07-01,,,,,,31942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-08-01,,,,,,32352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-09-01,,,,,,32810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-10-01,,,,,,33267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-11-01,,,,,,33669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-12-01,,,,,,34174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-01-01,,,,,,34481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-02-01,,,,,,34843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-03-01,,,,,,35092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-04-01,,,,,,35468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-05-01,,,,,,36182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-06-01,,,,,,36650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-07-01,,,,,,37137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-08-01,,,,,,37544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-09-01,,,,,,37835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-10-01,,,,,,37949.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-11-01,,,,,,38024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941-12-01,,,,,,38104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-01-01,,,,,,38347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-02-01,,,,,,38512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-03-01,,,,,,38935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-04-01,,,,,,39352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-05-01,,,,,,39771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-06-01,,,,,,40029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-07-01,,,,,,40472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-08-01,,,,,,40988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-09-01,,,,,,41259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-10-01,,,,,,41515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-11-01,,,,,,41674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942-12-01,,,,,,41915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-01-01,,,,,,42172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-02-01,,,,,,42393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-03-01,,,,,,42552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-04-01,,,,,,42647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-05-01,,,,,,42596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-06-01,,,,,,42781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-07-01,,,,,,42700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-08-01,,,,,,42546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-09-01,,,,,,42492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-10-01,,,,,,42675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-11-01,,,,,,42821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-12-01,,,,,,42746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,42654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-02-01,,,,,,42538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-03-01,,,,,,42294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-04-01,,,,,,42063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-05-01,,,,,,41985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-06-01,,,,,,41947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-07-01,,,,,,41904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-08-01,,,,,,41850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-09-01,,,,,,41679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-10-01,,,,,,41708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-11-01,,,,,,41711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-12-01,,,,,,41860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,,,,,41895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-02-01,,,,,,41897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-03-01,,,,,,41798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-04-01,,,,,,41446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-05-01,,,,,,41304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-06-01,,,,,,41149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-07-01,,,,,,40874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-08-01,,,,,,40466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-09-01,,,,,,38507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-10-01,,,,,,38600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-11-01,,,,,,38996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-12-01,,,,,,39110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-01-01,,,,,,39829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-02-01,,,,,,39244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-03-01,,,,,,40195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-04-01,,,,,,40913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-05-01,,,,,,41349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-06-01,,,,,,41735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-07-01,,,,,,42153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-08-01,,,,,,42642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-09-01,,,,,,42915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-10-01,,,,,,43093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-11-01,,,,,,43395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946-12-01,,,,,,43379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-01-01,,,,,,43535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-02-01,,,,,,43557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-03-01,,,,,,43607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-04-01,,,,,,43499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-05-01,,,,,,43638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-06-01,,,,,,43810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-07-01,,,,,,43743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-08-01,,,,,,43960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-09-01,,,,,,44203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-10-01,,,,,,44411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-11-01,,,,,,44484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-12-01,,,,,,44581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,3.4,58.6,44679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-02-01,,,,3.8,58.9,44533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-03-01,,,,4.0,58.5,44683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-04-01,,,,3.9,59.0,44379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-05-01,,,,3.5,58.3,44796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-06-01,,,,3.6,59.2,45034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-07-01,,,,3.6,59.3,45160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-08-01,,,,3.9,58.9,45178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-09-01,,,,3.8,58.9,45294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-10-01,,,,3.7,58.7,45245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-11-01,,,,3.8,58.7,45192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-12-01,,,,4.0,59.1,45032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,4.3,58.7,44668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-02-01,,,,4.7,59.0,44497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-03-01,,,,5.0,58.9,44240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-04-01,,,,5.3,58.8,44236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-05-01,,,,6.1,59.0,43984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-06-01,,,,6.2,58.6,43739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-07-01,,,,6.7,58.9,43531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-08-01,,,,6.8,59.2,43624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-09-01,,,,6.6,59.1,43780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-10-01,,,,7.9,59.6,42942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-11-01,,,,6.4,59.4,43242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-12-01,,,,6.6,59.2,43522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,6.5,58.9,43526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-02-01,,,,6.4,58.9,43297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-03-01,,,,6.3,58.8,43954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-04-01,,,,5.8,59.2,44382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-05-01,,,,5.5,59.1,44718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-06-01,,,,5.4,59.4,45083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-07-01,,,,5.0,59.1,45454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-08-01,,,,4.5,59.5,46192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-09-01,,,,4.4,59.2,46438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-10-01,,,,4.2,59.4,46706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-11-01,,,,4.2,59.3,46776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-12-01,,,,4.3,59.2,46861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,3.7,59.1,47288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-02-01,,,,3.4,59.1,47577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-03-01,,,,3.4,59.8,47873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-04-01,,,,3.1,59.1,47861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-05-01,,,,3.0,59.4,47952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-06-01,,,,3.2,59.0,48064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-07-01,,,,3.1,59.4,48061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-08-01,,,,3.1,59.2,48012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-09-01,,,,3.3,59.1,47954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-10-01,,,,3.5,59.4,48006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-11-01,,,,3.5,59.2,48147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-12-01,,,,3.1,59.6,48314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,3.2,59.5,48296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-02-01,,,,3.1,59.5,48522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-03-01,,,,2.9,58.9,48504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-04-01,,,,2.9,58.8,48620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
