,Date,spx,MA50,RSI,MACD_signal
0,1927-12-30,17.65999984741211,,,
1,1928-01-03,17.760000228881836,,,
2,1928-01-04,17.719999313354492,,,
3,1928-01-05,17.549999237060547,,,
4,1928-01-06,17.65999984741211,,,
5,1928-01-09,17.5,,,
6,1928-01-10,17.3700008392334,,,
7,1928-01-11,17.350000381469727,,,
8,1928-01-12,17.469999313354492,,,
9,1928-01-13,17.579999923706055,,,
10,1928-01-16,17.290000915527344,,,
11,1928-01-17,17.299999237060547,,,
12,1928-01-18,17.260000228881836,,,
13,1928-01-19,17.3799991607666,,41.68524013312111,
14,1928-01-20,17.479999542236328,,47.6937893187475,
15,1928-01-23,17.639999389648438,,55.5800601921037,
16,1928-01-24,17.709999084472656,,58.52620107329237,
17,1928-01-25,17.520000457763672,,49.02218415896152,
18,1928-01-26,17.6299991607666,,53.708973785673884,
19,1928-01-27,17.690000534057617,,56.08092488463716,
20,1928-01-30,17.489999771118164,,47.36825170369701,
21,1928-01-31,17.56999969482422,,50.66961533051772,
22,1928-02-01,17.530000686645508,,49.01418213695099,
23,1928-02-02,17.6299991607666,,53.136378994340454,
24,1928-02-03,17.399999618530273,,44.27066588021294,
25,1928-02-06,17.450000762939453,,46.365750562285825,
26,1928-02-07,17.440000534057617,,45.99333543588261,
27,1928-02-08,17.489999771118164,,48.23220012411293,
28,1928-02-09,17.549999237060547,,50.86455291284483,
29,1928-02-10,17.540000915527344,,50.40459414172672,
30,1928-02-14,17.440000534057617,,45.93088515899294,
31,1928-02-15,17.399999618530273,,44.239431503401065,
32,1928-02-16,17.350000381469727,,42.149986899958584,
33,1928-02-17,17.040000915527344,,32.044502979379544,-0.03140106388986268
34,1928-02-20,16.950000762939453,,29.809963179048964,-0.04463231718746363
35,1928-02-21,17.110000610351562,,38.07696099292544,-0.057316512771106255
36,1928-02-23,17.1299991607666,,39.04336116039009,-0.0685431955674244
37,1928-02-24,17.18000030517578,,41.501549790277146,-0.07731385345830397
38,1928-02-27,17.110000610351562,,39.12292264845072,-0.08502594047699058
39,1928-02-28,17.15999984741211,,41.69350150388826,-0.09067875549297938
40,1928-02-29,17.260000228881836,,46.55435387227693,-0.09294240590067032
41,1928-03-01,17.299999237060547,,48.40710718518397,-0.0921131339384225
42,1928-03-02,17.299999237060547,,48.407107185183975,-0.08917880549631224
43,1928-03-05,17.56999969482422,,59.42001080194665,-0.08056793463224028
44,1928-03-06,17.670000076293945,,62.60391462958023,-0.0670714347286555
45,1928-03-07,17.579999923706055,,58.17960933757366,-0.052503256523766854
46,1928-03-08,17.639999389648438,,60.1990268130735,-0.03695013711713066
47,1928-03-09,17.93000030517578,,68.19351064928657,-0.01688398379610987
48,1928-03-12,18.0,,69.77181332949549,0.00611423709787468
49,1928-03-13,17.920000076293945,17.47299995422363,65.75587331441179,0.028454328758726763
50,1928-03-14,17.93000030517578,17.478399963378905,66.01917051020077,0.049305507886480526
51,1928-03-15,18.06999969482422,17.484599952697753,69.5490645061038,0.07025164348856427
52,1928-03-16,18.26000022888184,17.4953999710083,73.5628622475065,0.0930304947749951
53,1928-03-19,18.36000061035156,17.51159999847412,75.4007076540338,0.11714736408791226
54,1928-03-20,18.459999084472656,17.52759998321533,77.11403436083123,0.1421670457491973
55,1928-03-21,18.649999618530277,17.55059997558594,79.96880120249946,0.1691483397415271
56,1928-03-22,18.600000381469727,17.575199966430663,77.23839123411244,0.19476149841772772
57,1928-03-23,18.780000686645508,17.60379997253418,79.8992081282013,0.22060235117102178
58,1928-03-26,19.049999237060547,17.6353999710083,83.09204044009167,0.249036169758182
59,1928-03-27,18.940000534057617,17.662599983215333,77.67857919799361,0.27528209247304575
60,1928-03-28,18.88999938964844,17.694599952697754,75.2777605160494,0.29735566717500805
61,1928-03-29,18.950000762939453,17.72759998321533,76.22727792348817,0.3159365148665294
62,1928-03-30,19.280000686645508,17.767999992370605,80.63298107017371,0.33589902301685354
63,1928-04-02,18.90999984741211,17.798600006103516,65.88877743056285,0.3490123324003689
64,1928-04-03,19.020000457763672,17.829400024414063,67.77535150539143,0.3581048011305898
65,1928-04-04,18.989999771118164,17.856400032043457,66.69199580097612,0.36290560588793314
66,1928-04-05,19.229999542236328,17.88680004119873,70.72362770368845,0.36776673358539963
67,1928-04-09,19.270000457763672,17.92180004119873,71.346155782884,0.3722108186540294
68,1928-04-10,19.100000381469727,17.95120006561279,65.01850462077257,0.372599947523867
69,1928-04-11,19.440000534057617,17.986200065612792,70.62904506162292,0.37500238283682097
70,1928-04-12,19.40999984741211,18.02460006713867,69.56877271484602,0.377207430275824
71,1928-04-13,19.729999542236328,18.067800064086914,74.04452580816897,0.38341884279074695
72,1928-04-16,19.68000030517578,18.11080005645752,72.25630598662153,0.39014415708531713
73,1928-04-17,19.520000457763672,18.14860008239746,66.70462184704772,0.3933971014007594
74,1928-04-18,19.520000457763672,18.19100009918213,66.70462184704772,0.3934064751978748
75,1928-04-19,19.6299991607666,18.234600067138672,68.62659790118676,0.3922406625698026
76,1928-04-20,19.34000015258789,18.272600059509276,58.96303109542838,0.38487861906696846
77,1928-04-23,19.149999618530277,18.30580005645752,53.63422423795103,0.3701102648006828
78,1928-04-24,19.25,18.339800071716308,55.89357447942347,0.3522258514886138
79,1928-04-25,19.32999992370605,18.375600051879882,57.67062778902601,0.3337994413287747
80,1928-04-26,19.46999931335449,18.41620002746582,60.65791652740482,0.31747207296209823
81,1928-04-27,19.68000030517578,18.46180004119873,64.68403324057584,0.30594311105773586
