,Date,spx,MA50,RSI,MACD_signal,vix,spx_volume,irx,tnx,erp,cpi,non_farm,GDP,PCE
546,1992-03-10,406.8900146484375,413.64239990234375,43.561091242079364,-0.3783486675208538,18.68000030517578,203000000,4.010000228881836,7.429999828338623,0.025313589779039136,139.1,108361.0,10236.4,6530.3
547,1992-03-11,404.0299987792969,413.4201995849609,39.36105308450356,-0.621061713019333,19.790000915527344,186330000,4.010000228881836,7.510000228881836,0.003550158906758194,139.1,108361.0,10236.4,6530.3
548,1992-03-12,403.8900146484375,413.15619995117186,39.16202485953138,-0.861732241386633,19.71999931335449,180310000,4.019999980926514,7.619999885559082,0.005165502211176273,139.1,108361.0,10236.4,6530.3
549,1992-03-13,405.8399963378906,412.9277996826172,43.451511991404836,-1.0554313317343937,18.350000381469727,177900000,4.059999942779541,7.710000038146973,0.009224580887113601,139.1,108361.0,10236.4,6530.3
550,1992-03-16,406.3900146484375,412.66880004882813,44.63722548647885,-1.1983548459250277,18.459999084472656,155950000,4.059999942779541,7.690000057220459,0.015223378660652709,139.1,108361.0,10236.4,6530.3
551,1992-03-17,409.5799865722656,412.5011999511719,51.048170987916095,-1.248335493831169,16.790000915527344,187250000,4.059999942779541,7.619999885559082,0.04106995030786263,139.1,108361.0,10236.4,6530.3
552,1992-03-18,409.1499938964844,412.33619995117186,50.20424653145494,-1.2414563585044152,16.690000534057617,191720000,4.050000190734863,7.619999885559082,0.03586234883957816,139.1,108361.0,10236.4,6530.3
553,1992-03-19,409.7999877929688,412.1701995849609,51.50926031626277,-1.1860994250912145,16.520000457763672,197310000,4.050000190734863,7.570000171661377,0.04220060061805027,139.1,108361.0,10236.4,6530.3
554,1992-03-20,411.2999877929688,412.04399963378904,54.47439984527348,-1.076624464486304,16.81999969482422,246210000,4.059999942779541,7.639999866485596,0.042844519394851524,139.1,108361.0,10236.4,6530.3
555,1992-03-23,409.9100036621094,411.94019958496096,51.341420903409144,-0.9586907712722248,16.729999542236328,157050000,4.079999923706055,7.619999885559082,0.03217416912716685,139.1,108361.0,10236.4,6530.3
556,1992-03-24,408.8800048828125,411.83099975585935,49.088448466687886,-0.8558855661725782,16.31999969482422,191610000,4.050000190734863,7.53000020980835,0.011279902623487909,139.1,108361.0,10236.4,6530.3
557,1992-03-25,407.5199890136719,411.5725994873047,46.20527043379422,-0.7876993456121144,16.190000534057617,192650000,4.010000228881836,7.53000020980835,0.010406624748977938,139.1,108361.0,10236.4,6530.3
558,1992-03-26,407.8599853515625,411.3143994140625,47.04267085547977,-0.7375662990922731,16.290000915527344,176720000,4.010000228881836,7.570000171661377,0.011288922180491115,139.1,108361.0,10236.4,6530.3
559,1992-03-27,403.5,411.02019958496095,38.71902911024544,-0.769256646516528,16.020000457763672,166140000,4.010000228881836,7.539999961853027,0.01132236306839085,139.1,108361.0,10236.4,6530.3
560,1992-03-30,403.0,410.7029998779297,37.89103446451539,-0.8567949681797731,15.970000267028809,133990000,4.010000228881836,7.539999961853027,-0.013476415955816168,139.1,108361.0,10236.4,6530.3
561,1992-03-31,403.6900024414063,410.44960021972656,39.80412322665841,-0.9617874196651113,16.18000030517578,182360000,4.050000190734863,7.539999961853027,-0.010086230049356826,139.1,108361.0,10236.4,6530.3
562,1992-04-01,404.2300109863281,410.2814001464844,41.32730436938452,-1.061408274757955,16.479999542236328,186530000,4.010000228881836,7.460000038146973,-0.010192536178774012,139.4,108515.0,10347.4,6574.7
563,1992-04-02,400.5,409.9288000488281,34.78068484412023,-1.2095310100888952,17.059999465942383,185210000,4.019999980926514,7.46999979019165,-0.007724252938341447,139.4,108515.0,10347.4,6574.7
564,1992-04-03,401.5499877929688,409.6605999755859,37.76912624197013,-1.360780237937206,16.719999313354492,188580000,3.9600000381469727,7.420000076293945,-0.013750035333569915,139.4,108515.0,10347.4,6574.7
565,1992-04-06,405.5899963378906,409.4627996826172,47.69933613692695,-1.4385028860690001,16.719999313354492,179910000,3.9600000381469727,7.409999847412109,0.011642583677686766,139.4,108515.0,10347.4,6574.7
566,1992-04-07,398.05999755859375,409.12419982910154,36.12779323786423,-1.582924242439956,18.809999465942383,205210000,3.869999885559082,7.409999847412109,-0.0073439913200121915,139.4,108515.0,10347.4,6574.7
567,1992-04-08,394.5,408.715,32.15605046219052,-1.8147701281259159,20.149999618530277,249280000,3.869999885559082,7.440000057220459,-0.029726656560722653,139.4,108515.0,10347.4,6574.7
568,1992-04-09,400.6400146484375,408.52100036621096,43.66030674702556,-1.9871616947774795,17.889999389648438,231430000,3.660000085830689,7.349999904632568,-0.02029279327160398,139.4,108515.0,10347.4,6574.7
569,1992-04-10,404.2900085449219,408.3744006347656,49.177415978718166,-2.0504887309729347,16.850000381469727,199530000,3.650000095367432,7.369999885559082,-0.013100282295431767,139.4,108515.0,10347.4,6574.7
570,1992-04-13,406.0799865722656,408.320400390625,51.67658138168148,-2.0089049919426243,16.989999771118164,143140000,3.619999885559082,7.329999923706055,-0.025676059069842938,139.4,108515.0,10347.4,6574.7
571,1992-04-14,412.3900146484375,408.37760070800783,59.278604489992915,-1.7984935863265001,15.979999542236328,231130000,3.619999885559082,7.349999904632568,-0.017308420725224802,139.4,108515.0,10347.4,6574.7
572,1992-04-15,416.2799987792969,408.42620056152344,63.12942010586535,-1.4271328280396685,15.149999618530272,229710000,3.619999885559082,7.369999885559082,-0.002083853213380185,139.4,108515.0,10347.4,6574.7
573,1992-04-16,416.0400085449219,408.47020080566404,62.73526042255535,-0.9749356578297306,14.850000381469728,233230000,3.650000095367432,7.449999809265137,0.008373493126118264,139.4,108515.0,10347.4,6574.7
