,Producer Price Index by Commodity: All Commodities,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp",Producer Price Index by Industry: Plastics Material and Resin Manufacturing
1940-01-01,13.7,9.7,
1940-02-01,13.6,9.8,
1940-03-01,13.5,9.8,
1940-04-01,13.5,10.4,
1940-05-01,13.5,11.2,
1940-06-01,13.4,11.7,
1940-07-01,13.4,12.2,
1940-08-01,13.4,12.2,
1940-09-01,13.4,12.2,
1940-10-01,13.6,12.2,
1940-11-01,13.7,12.2,
1940-12-01,13.8,12.2,
1941-01-01,13.9,12.2,
1941-02-01,13.9,12.2,
1941-03-01,14.0,12.2,
1941-04-01,14.4,12.2,
1941-05-01,14.6,12.3,
1941-06-01,15.0,12.4,
1941-07-01,15.3,12.4,
1941-08-01,15.6,12.5,
1941-09-01,15.8,13.0,
1941-10-01,15.9,13.0,
1941-11-01,15.9,13.0,
1941-12-01,16.2,13.0,
1942-01-01,16.5,13.0,
1942-02-01,16.7,13.0,
1942-03-01,16.8,13.0,
1942-04-01,17.0,13.0,
1942-05-01,17.0,13.0,
1942-06-01,17.0,13.0,
1942-07-01,17.0,13.0,
1942-08-01,17.1,13.0,
1942-09-01,17.2,13.0,
1942-10-01,17.2,13.0,
1942-11-01,17.3,13.0,
1942-12-01,17.4,13.0,
1943-01-01,17.5,13.0,
1943-02-01,17.7,13.0,
1943-03-01,17.8,13.0,
1943-04-01,17.9,13.0,
1943-05-01,17.9,13.0,
1943-06-01,17.9,13.0,
1943-07-01,17.8,13.0,
1943-08-01,17.8,13.0,
1943-09-01,17.8,13.0,
1943-10-01,17.8,13.0,
1943-11-01,17.7,13.0,
1943-12-01,17.8,13.0,
1944-01-01,17.8,13.0,
1944-02-01,17.8,13.6,
1944-03-01,17.9,14.2,
1944-04-01,17.9,14.2,
1944-05-01,17.9,14.2,
1944-06-01,18.0,14.2,
1944-07-01,17.9,14.2,
1944-08-01,17.9,14.2,
1944-09-01,17.9,14.2,
1944-10-01,17.9,14.2,
1944-11-01,18.0,14.2,
1944-12-01,18.0,14.2,
1945-01-01,18.1,14.2,
1945-02-01,18.1,14.2,
1945-03-01,18.1,14.2,
1945-04-01,18.2,14.2,
1945-05-01,18.3,14.2,
